feature,importance
funding_rounds,0.11328077622801695
seed,0.02146755609460276
state_code,0.012007277137659145
category_count,0.006185567010309256
angel,0.002910855063674944
funding_total_usd,0.0020618556701030855
months_to_first_funding,0.0009702850212249814
equity_crowdfunding,0.0009702850212249814
founded_year,0.000727713765918736
convertible_note,0.0006064281382656134
grant,0.0004851425106124907
debt_financing,0.000363856882959368
market,-2.2204460492503132e-17
country_code,-0.000363856882959368
